iter	Accuracy	Logloss
0	1	0.6323036894
1	1	0.5813957901
2	1	0.5438644361
3	1	0.5098343447
4	1	0.4906342047
5	1	0.4686107914
6	1	0.4404480008
7	1	0.426529325
8	1	0.4067227229
9	1	0.3779450125
10	1	0.3588339052
11	1	0.3396092493
12	1	0.3193511166
13	1	0.3053154809
14	1	0.2972236423
15	1	0.2756795413
16	1	0.2622567349
17	1	0.2513694668
18	1	0.2364471912
19	1	0.2207648955
20	1	0.2129419545
21	1	0.2026608054
22	1	0.1943792689
23	1	0.1866257303
24	1	0.1800898004
25	1	0.1742977114
26	1	0.1703836351
27	1	0.1657578626
28	1	0.1563111567
29	1	0.1506288714
30	1	0.1459642118
31	1	0.138150992
32	1	0.1326078304
33	1	0.1295570603
34	1	0.1267534051
35	1	0.1235196405
36	1	0.1190847836
37	1	0.1170328515
38	1	0.1131387721
39	1	0.1097160047
40	1	0.1073537601
41	1	0.105023417
42	1	0.1029176191
43	1	0.09943736134
44	1	0.09713433628
45	1	0.0940080391
46	1	0.0915263792
47	1	0.08866731212
48	1	0.08697164559
49	1	0.08450237128
50	1	0.08233005925
51	1	0.08114730985
52	1	0.07957912173
53	1	0.07800341251
54	1	0.07638145438
55	1	0.07491571489
56	1	0.07326392395
57	1	0.07138124067
58	1	0.06992202156
59	1	0.06870417786
60	1	0.06747184667
61	1	0.06639957805
62	1	0.06522705287
63	1	0.06341123247
64	1	0.06186397378
65	1	0.06104726243
66	1	0.05907979623
67	1	0.05817059701
68	1	0.05721876979
69	1	0.05622238063
70	1	0.05543341635
71	1	0.05458842936
72	1	0.05372231448
73	1	0.05213072108
74	1	0.05140605953
75	1	0.05066750276
76	1	0.04985430302
77	1	0.04883692045
78	1	0.04773945981
79	1	0.04685532306
80	1	0.04647939745
81	1	0.04581292321
82	1	0.04459906289
83	1	0.04415046732
84	1	0.04350894085
85	1	0.04273108841
86	1	0.04165471885
87	1	0.04109402804
88	1	0.04067755545
89	1	0.04029679195
90	1	0.03985079936
91	1	0.03947319029
92	1	0.03903155645
93	1	0.03841890233
94	1	0.03781955708
95	1	0.03739792778
96	1	0.0368123991
97	1	0.036418537
98	1	0.03603904325
99	1	0.03567842164
100	1	0.03513407539
101	1	0.03461644157
102	1	0.03412576406
103	1	0.0336352003
104	1	0.03331797418
105	1	0.03294724641
106	1	0.03264252306
107	1	0.0324203938
108	1	0.03197366728
109	1	0.03162760718
110	1	0.03121148719
111	1	0.03079495262
112	1	0.03052180612
113	1	0.03028248373
114	1	0.03002278376
115	1	0.02976750333
116	1	0.02939503378
117	1	0.02910257982
118	1	0.02882109408
119	1	0.02858075388
120	1	0.02836393417
121	1	0.02813525947
122	1	0.02791024733
123	1	0.02770572983
124	1	0.02744152949
125	1	0.02722023465
126	1	0.02699843511
127	1	0.02678405921
128	1	0.02657974991
129	1	0.02636810257
130	1	0.02617000136
131	1	0.02596474341
132	1	0.02577257116
133	1	0.02558322298
134	1	0.02536038577
135	1	0.02514126113
136	1	0.02496080547
137	1	0.02469108358
138	1	0.02451677066
139	1	0.02434490408
140	1	0.02417543225
141	1	0.02400830503
142	1	0.02375728755
143	1	0.02359566215
144	1	0.02342754362
145	1	0.02327031519
146	1	0.02311518494
