iter	Passed	Remaining
0	130	39120
1	131	19596
2	132	13085
3	132	9828
4	133	7878
5	137	6742
6	138	5794
7	139	5080
8	140	4527
9	140	4079
10	141	3714
11	141	3407
12	142	3152
13	143	2934
14	144	2742
15	144	2572
16	145	2424
17	146	2291
18	146	2173
19	147	2066
20	148	1977
21	149	1894
22	150	1815
23	151	1742
24	152	1675
25	153	1620
26	154	1565
27	155	1512
28	156	1461
29	157	1414
30	157	1370
31	158	1328
32	159	1289
33	160	1254
34	161	1220
35	162	1192
36	163	1161
37	164	1133
38	165	1104
39	165	1077
40	166	1051
41	167	1026
42	167	1002
43	168	979
44	169	957
45	169	936
46	170	916
47	170	897
48	171	879
49	172	861
50	172	844
51	173	828
52	174	812
53	174	796
54	176	784
55	177	774
56	178	761
57	179	747
58	179	734
59	180	721
60	181	709
61	181	697
62	182	686
63	182	674
64	183	663
65	184	653
66	184	642
67	185	632
68	186	623
69	186	613
70	187	604
71	187	595
72	188	586
73	189	577
74	191	574
75	192	567
76	193	559
77	193	551
78	194	543
79	194	535
80	195	528
81	196	521
82	196	514
83	197	507
84	198	500
85	198	494
86	199	487
87	199	481
88	200	475
89	201	469
90	201	463
91	202	457
92	203	452
93	203	446
94	205	442
95	206	437
96	206	432
97	207	427
98	208	422
99	208	417
100	209	412
101	210	408
102	210	403
103	211	398
104	212	393
105	212	389
106	213	384
107	214	380
108	214	376
109	215	372
110	216	368
111	216	364
112	217	360
113	218	356
114	219	353
115	220	349
116	221	345
117	221	342
118	222	338
119	223	334
120	223	331
121	224	327
122	225	323
123	225	320
124	226	317
125	227	313
126	227	310
127	228	306
128	229	303
129	229	300
130	230	297
131	231	294
132	232	291
133	232	288
134	233	285
135	233	282
136	234	279
137	235	276
138	235	273
139	236	270
140	236	267
141	237	264
142	237	261
143	238	258
144	239	255
145	239	252
146	240	250
147	240	247
148	241	244
149	242	242
150	242	239
151	243	237
152	244	234
153	245	232
154	245	230
155	246	227
156	247	225
157	248	223
158	248	220
159	249	218
160	250	216
161	250	213
162	251	211
163	252	209
164	252	206
165	253	204
166	254	202
167	254	200
168	255	197
169	255	195
170	256	193
171	257	191
172	257	189
173	258	187
174	259	185
175	259	183
176	260	181
177	261	179
178	261	177
179	262	175
180	263	173
181	263	171
182	264	169
183	265	167
184	265	165
185	266	163
186	267	161
187	267	159
188	268	157
189	269	155
190	270	154
191	270	152
192	271	150
193	272	148
194	273	147
195	273	145
196	274	143
197	274	141
198	275	139
199	276	138
200	276	136
201	277	134
202	278	132
203	278	131
204	279	129
205	280	127
206	280	126
207	281	124
208	282	122
209	282	121
210	283	119
211	284	117
212	284	116
213	286	114
214	287	113
215	288	112
216	289	110
217	289	108
218	290	107
219	291	105
220	291	104
221	292	102
222	292	101
223	293	99
224	294	98
225	294	96
226	295	94
227	296	93
228	296	91
229	297	90
230	297	88
231	298	87
232	299	86
233	300	84
234	300	83
235	301	81
236	301	80
237	302	78
238	303	77
239	303	75
240	304	74
241	304	73
242	305	71
243	306	70
244	306	68
245	307	67
246	308	66
247	308	64
248	309	63
249	309	61
250	310	60
251	311	59
252	314	58
253	316	57
254	317	55
255	317	54
256	318	53
257	319	52
258	320	50
259	321	49
260	322	48
261	322	46
262	323	45
263	323	44
264	324	42
265	324	41
266	325	40
267	326	38
268	326	37
269	327	36
270	327	35
271	328	33
272	329	32
273	329	31
274	330	30
275	330	28
276	331	27
277	332	26
278	332	25
279	333	23
280	335	22
281	336	21
282	337	20
283	337	19
284	338	17
285	339	16
286	340	15
287	340	14
288	341	12
289	342	11
290	342	10
291	343	9
292	343	8
293	344	7
294	345	5
295	345	4
296	346	3
297	347	2
298	348	1
299	349	0
