Age,Salary,Visits,Buy
22,18000,2,No
25,22000,3,No
28,25000,4,No
30,30000,5,Yes
32,35000,6,Yes
40,45000,7,Yes
42,48000,4,Yes
45,48000,6,Yes
48,55000,7,Yes
52,65000,8,Yes
55,70000,5,Yes
58,75000,4,Yes
21,15000,1,No
24,20000,2,No
27,23000,3,No
29,28000,4,No
31,32000,5,Yes
34,36000,6,Yes
37,39000,7,Yes
39,41000,4,Yes
43,47000,3,Yes
46,52000,3,Yes
49,58000,6,Yes
53,47000,3,Yes
56,68000,8,Yes
23,19000,1,No
26,24000,2,No
33,33000,5,Yes
36,38000,6,Yes
41,46000,4,Yes
44,49000,5,Yes
47,53000,7,Yes
51,61000,6,Yes
54,66000,5,Yes
57,72000,8,Yes
59,80000,7,Yes
