Age,Income,StudyHours,Attendance,PreviousScore,Class
18,25000,2.5,65,55,Fail
19,28000,3.0,70,60,Fail
20,30000,3.5,72,62,Fail
21,32000,4.0,75,65,Pass
22,35000,4.5,78,68,Pass
23,38000,5.0,80,72,Pass
24,40000,5.5,82,75,Pass
25,42000,6.0,85,78,Pass
26,45000,6.5,88,82,Pass
27,48000,7.0,90,85,Pass
28,50000,7.5,92,88,Pass
29,52000,8.0,94,90,Pass
30,55000,2.0,60,50,Fail
31,57000,2.5,64,54,Fail
32,59000,3.0,68,58,Fail
33,61000,3.5,71,61,Fail
34,63000,4.0,74,64,Pass
35,65000,4.5,77,67,Pass
36,68000,5.0,81,73,Pass
37,70000,5.5,84,76,Pass
38,72000,6.0,86,80,Pass
39,75000,6.5,89,83,Pass
40,78000,7.0,91,87,Pass
41,80000,7.5,93,89,Pass
42,82000,1.5,55,48,Fail
43,84000,2.0,58,51,Fail
44,86000,2.5,62,53,Fail
45,88000,3.0,66,57,Fail
46,90000,3.5,71,61,Fail
47,92000,4.0,73,63,Pass
48,94000,4.5,76,66,Pass
49,96000,5.0,80,70,Pass
50,98000,5.5,83,74,Pass
51,10000,6.0,86,79,Pass
52,10200,6.5,89,82,Pass
53,10500,7.0,92,86,Pass
54,10800,7.5,95,91,Pass
55,11000,8.0,96,94,Pass
56,30000,1.5,50,45,Fail
57,33000,2.0,55,49,Fail
58,36000,2.5,60,52,Fail
59,39000,3.0,65,56,Fail
60,42000,3.5,69,59,Fail
61,45000,4.0,73,63,Pass
62,48000,4.5,77,67,Pass
63,51000,5.0,81,71,Pass
64,54000,5.5,84,75,Pass
65,57000,6.0,87,79,Pass
66,60000,6.5,90,83,Pass
67,63000,7.0,93,87,Pass
68,66000,7.5,95,90,Pass
69,69000,8.0,97,93,Pass
70,72000,8.5,98,96,Pass
